word	df	posting list
a	161	{6: 1, 63: 1, 72: 1, 74: 1, 99: 1, 106: 1, 130: 1, 166: 2, 168: 1, 172: 1, 208: 2, 266: 1, 269: 1, 326: 1, 396: 1, 439: 4, 440: 4, 441: 4, 442: 4, 444: 4, 446: 1, 448: 1, 455: 1, 494: 1, 495: 1, 496: 1, 497: 1, 498: 1, 505: 1, 597: 1, 600: 1, 601: 3, 609: 1, 613: 1, 614: 1, 685: 2, 686: 2, 687: 2, 688: 2, 689: 2, 692: 2, 693: 1, 694: 1, 696: 2, 698: 2, 699: 2, 705: 2, 706: 2, 708: 2, 709: 2, 714: 1, 732: 1, 749: 1, 750: 1, 753: 1, 781: 1, 795: 3, 823: 1, 868: 2, 869: 2, 870: 2, 872: 2, 880: 2, 892: 2, 893: 2, 895: 2, 897: 2, 898: 2, 899: 2, 900: 2, 902: 1, 913: 1, 919: 1, 972: 1, 1014: 1, 1028: 1, 1065: 1, 1116: 1, 1117: 1, 1118: 1, 1119: 1, 1120: 1, 1121: 1, 1122: 1, 1126: 1, 1131: 1, 1132: 1, 1133: 1, 1134: 1, 1135: 1, 1137: 1, 1138: 1, 1140: 1, 1141: 1, 1163: 4, 1194: 1, 1202: 1, 1205: 2, 1207: 1, 1233: 2, 1247: 1, 1327: 1, 1349: 1, 1399: 1, 1433: 1, 1457: 1, 1474: 2, 1522: 1, 1529: 1, 1531: 1, 1540: 1, 1549: 1, 1564: 1, 1588: 1, 1592: 1, 1623: 1, 1624: 1, 1627: 1, 1632: 1, 1644: 1, 1681: 1, 1737: 1, 1788: 1, 1841: 1, 1896: 1, 2015: 2, 2083: 1, 2085: 1, 2100: 1, 2110: 1, 2189: 1, 2198: 2, 2199: 1, 2389: 2, 2395: 1, 2397: 1, 2450: 1, 2517: 1, 2608: 1, 2664: 1, 2670: 1, 2803: 1, 2814: 4, 2898: 1, 2957: 1, 2964: 1, 2977: 1, 2981: 1, 3012: 3, 3022: 1, 3037: 1, 3039: 1, 3042: 3, 3053: 2, 3056: 1, 3075: 1, 3084: 1, 3085: 1, 3100: 1, 3104: 1, 3112: 4}
aaa	1	{721: 1}
aad	1	{861: 1}
aaddett	1	{2725: 1}
aai	4	{983: 2, 990: 1, 1004: 3, 1039: 2}
aba	1	{289: 1}
abap	4	{536: 1, 659: 1, 891: 2, 3112: 1}
abb	1	{2912: 2}
abbast	1	{3007: 1}
abbiam	29	{106: 1, 130: 1, 595: 1, 749: 1, 750: 1, 753: 1, 823: 1, 867: 1, 902: 1, 1014: 1, 1060: 1, 1061: 1, 1247: 1, 1324: 1, 1349: 1, 1381: 1, 1529: 1, 1531: 1, 1564: 1, 1627: 1, 2004: 1, 2458: 1, 2602: 1, 2605: 1, 2666: 1, 3039: 3, 3041: 1, 3053: 1, 3075: 1}
abbigl	5	{411: 1, 676: 1, 1531: 2, 2948: 1, 2950: 1}
abbin	1	{2015: 1}
abbon	3	{2110: 1, 2198: 1, 3017: 2}
abbracc	1	{2926: 1}
